Trace,hwc hot & opt hot,hwc warm & opt hot,hwc warm & opt warm,hwc cold & opt hot,hwc cold & opt warm,hwc cold & opt cold
cassandra,30201,23438,10453,1796,146,3429
drupal,20438,13770,12988,2307,392,11888
finagle-chirper,38849,25499,11526,1626,100,6065
finagle-http,30103,21609,10441,1156,151,5040
kafka,48706,33684,14973,2172,300,8482
mediawiki,36436,38986,19895,4081,305,12318
tomcat,67158,66343,43520,2597,104,9524
verilator,0,2064,42515,3425,1434,2977602
wordpress,12536,21185,14929,2332,254,9212
