Trace,ipc1_fdipChampSim_fdip_hot_warm_cold_80_50_f_keep_curr_hotter128,ipc1_fdipChampSim_fdip_hot_warm_cold_80_50_f_keep_curr_hotter16,ipc1_fdipChampSim_fdip_hot_warm_cold_80_50_f_keep_curr_hotter32,ipc1_fdipChampSim_fdip_hot_warm_cold_80_50_f_keep_curr_hotter64,ipc1_fdipChampSim_fdip_hot_warm_cold_80_50_f_keep_curr_hotter8,ipc1_fdipChampSim_fdip_hot_warm_cold_80_50_f_keep_curr_hotter_lru128,ipc1_fdipChampSim_fdip_hot_warm_cold_80_50_f_keep_curr_hotter_lru16,ipc1_fdipChampSim_fdip_hot_warm_cold_80_50_f_keep_curr_hotter_lru32,ipc1_fdipChampSim_fdip_hot_warm_cold_80_50_f_keep_curr_hotter_lru64,ipc1_fdipChampSim_fdip_hot_warm_cold_80_50_f_keep_curr_hotter_lru8,ipc1_fdipChampSim_fdip_lru128,ipc1_fdipChampSim_fdip_lru16,ipc1_fdipChampSim_fdip_lru32,ipc1_fdipChampSim_fdip_lru64,ipc1_fdipChampSim_fdip_lru8,ipc1_fdipChampSim_fdip_opt128,ipc1_fdipChampSim_fdip_opt16,ipc1_fdipChampSim_fdip_opt32,ipc1_fdipChampSim_fdip_opt64,ipc1_fdipChampSim_fdip_opt8,ipc1_fdipChampSim_fdip_srrip128,ipc1_fdipChampSim_fdip_srrip16,ipc1_fdipChampSim_fdip_srrip32,ipc1_fdipChampSim_fdip_srrip64,ipc1_fdipChampSim_fdip_srrip8
server_015,1.48474,1.48474,1.48474,1.48474,1.48474,1.48474,1.48474,1.48474,1.48474,1.48474,1.48474,1.48475,1.48475,1.48474,1.48474,1.48474,1.48474,1.48474,1.48474,1.48474,1.48474,1.48475,1.48475,1.48474,1.48474
server_016,1.85574,1.85556,1.85574,1.85574,1.84999,1.85574,1.85563,1.85574,1.85574,1.85178,1.85574,1.85537,1.85568,1.85574,1.84626,1.85574,1.85519,1.85574,1.85574,1.85105,1.85574,1.85535,1.8557,1.85574,1.85016
server_017,0.414165,0.414165,0.414165,0.414165,0.414165,0.414165,0.414165,0.414165,0.414165,0.414165,0.414121,0.414121,0.414121,0.414121,0.414121,0.414165,0.414165,0.414165,0.414165,0.414165,0.414165,0.414165,0.414165,0.414165,0.414165
server_018,0.423425,0.423425,0.423425,0.423425,0.423425,0.423425,0.423425,0.423425,0.423425,0.423424,0.423425,0.423425,0.423425,0.423425,0.423425,0.423425,0.423425,0.423425,0.423425,0.423424,0.423425,0.423425,0.423425,0.423425,0.423425
server_019,0.407122,0.407122,0.407122,0.407122,0.407122,0.407122,0.407122,0.407122,0.407122,0.407122,0.40707,0.407122,0.407122,0.40707,0.407122,0.407122,0.407122,0.407122,0.407122,0.407122,0.407122,0.407122,0.407122,0.407122,0.40712
server_020,0.426659,0.426659,0.426659,0.426659,0.426659,0.426659,0.426659,0.426659,0.426659,0.426659,0.426659,0.426659,0.426659,0.426659,0.426659,0.426659,0.426659,0.426659,0.426659,0.426659,0.426659,0.426659,0.426659,0.426659,0.426659
server_021,0.430375,0.430375,0.430375,0.430375,0.430375,0.430375,0.430375,0.430375,0.430375,0.430375,0.430375,0.430375,0.430375,0.430375,0.430375,0.430375,0.430375,0.430375,0.430375,0.430375,0.430375,0.430375,0.430375,0.430375,0.430375
server_022,0.431864,0.431864,0.431864,0.431864,0.431864,0.431864,0.431864,0.431864,0.431864,0.431864,0.431864,0.431864,0.431864,0.431864,0.431864,0.431864,0.431864,0.431864,0.431864,0.431864,0.431864,0.431864,0.431864,0.431864,0.43185
server_023,1.66884,1.66861,1.66882,1.66883,1.666,1.66884,1.6686,1.66881,1.66883,1.66578,1.66884,1.66815,1.6686,1.66883,1.65635,1.66884,1.66813,1.6687,1.66884,1.66508,1.66884,1.66816,1.66867,1.66883,1.65865
server_024,1.6367,1.63671,1.6367,1.6367,1.63459,1.6367,1.63683,1.6367,1.6367,1.6344,1.6367,1.6366,1.6367,1.6367,1.62608,1.6367,1.63663,1.6367,1.6367,1.63443,1.6367,1.6366,1.6367,1.6367,1.63106
