Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI
server_035,1.36605,31794950,28268971,3525979,70.5196,0,12076214,11434062,642152,12.843,4.9644,3.4889,6837785,4380677,2457108,49.1422
server_036,1.76372,31619422,27689493,3929929,78.5986,0,13756859,13752939,3920,0.0784,0.0358,0.0307,6301409,3788154,2513255,50.2651
server_037,1.78141,32615555,28437959,4177596,83.5519,0,12413805,11977151,436654,8.7331,3.5985,0.451,6799478,3890679,2908799,58.176
server_038,1.78674,32602423,28456830,4145593,82.9119,0,12421672,11983584,438088,8.7618,3.3192,0.4323,6801786,3875003,2926783,58.5357
server_039,1.70466,31597628,27208145,4389483,87.7897,0,13601647,13550594,51053,1.0211,0.0001,0.0001,6580129,3936283,2643846,52.8769
spec_gcc_001,1.60182,32312859,32078386,234473,4.6895,0,11618890,10846949,771941,15.4388,3.4756,1.0072,6498067,6349769,148298,2.966
spec_gcc_002,0.231908,20654397,20067302,587095,11.7419,0,13370444,8356971,5013473,100.2695,104.2536,58.8221,3717432,3346353,371079,7.4216
spec_gcc_003,0.252313,19719127,18986275,732852,14.657,0,12224392,6673580,5550812,111.0162,117.6661,75.7641,3560893,3074974,485919,9.7184
spec_gobmk_001,1.57698,24913037,24388710,524327,10.4865,0,9545816,9309177,236639,4.7328,1.839,0.292,4310184,4028158,282026,5.6405
spec_gobmk_002,1.98704,26721246,25918252,802994,16.0599,0,9489977,9416842,73135,1.4627,0.5164,0.3749,5677419,5250433,426986,8.5397
spec_perlbench_001,1.6795,28476661,28155559,321102,6.422,0,11979657,11735623,244034,4.8807,2.3495,1.6927,6596095,6419475,176620,3.5324
spec_x264_001,3.27026,11017650,10754867,262783,5.2557,0,6494392,6426197,68195,1.3639,0.7159,0.5534,1709708,1663427,46281,0.9256
