Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI
server_033,1.493,5828890,2528259,3300631,66.0126,7.36266,12436245,11799253,636992,12.7398,4.3167,0.3649,5828890,2528259,3300631,66.0126
server_034,1.56159,5826180,2528501,3297679,65.9536,7.32042,12446206,11840306,605900,12.118,1.7124,0.0975,5826180,2528501,3297679,65.9536
server_035,1.20451,5849435,2512499,3336936,66.7387,7.11978,12341644,11699639,642005,12.8401,4.4487,3.4983,5849435,2512499,3336936,66.7387
server_036,1.68166,5918928,2098124,3820804,76.4161,3.9188,13814049,13810130,3919,0.0784,0.0363,0.0302,5918928,2098124,3820804,76.4161
server_037,1.65668,6441667,2407768,4033899,80.678,3.90862,12486413,12049842,436571,8.7314,3.6271,0.4424,6441667,2407768,4033899,80.678
server_038,1.66522,6443353,2403061,4040292,80.8058,3.87702,12494618,12056574,438044,8.7609,3.3263,0.4337,6443353,2403061,4040292,80.8058
server_039,1.60684,6116555,2029443,4087112,81.7422,4.58654,13624294,13573241,51053,1.0211,0.0001,0.0001,6116555,2029443,4087112,81.7422
spec_gcc_001,1.38477,3652186,3432187,219999,4.4,14.2398,11905931,11133967,771964,15.4393,3.3508,0.9996,3652186,3432187,219999,4.4
spec_gcc_002,0.213353,2433147,1888982,544165,10.8833,5.71512,13635491,8622002,5013489,100.2698,103.9853,61.5116,2433147,1888982,544165,10.8833
spec_gcc_003,0.245,2622352,1944311,678041,13.5608,5.33226,12522692,6971893,5550799,111.016,117.4493,74.3917,2622352,1944311,678041,13.5608
spec_gobmk_001,1.18293,3038322,2712370,325952,6.519,16.9352,10346645,10110022,236623,4.7325,1.7735,0.3085,3038322,2712370,325952,6.519
spec_gobmk_002,1.27113,4330328,3906060,424268,8.4854,18.3174,10594184,10521045,73139,1.4628,0.476,0.3672,4330328,3906060,424268,8.4854
spec_perlbench_001,1.57237,2805485,2498137,307348,6.147,8.01662,12217728,11973704,244024,4.8805,2.3177,1.6827,2805485,2498137,307348,6.147
spec_x264_001,2.93435,948318,687626,260692,5.2138,3.69222,6742721,6674492,68229,1.3646,0.7161,0.5543,948318,687626,260692,5.2138
